# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	1357	3084	-							B9J08_00001	1728		old_locus_tag=B9J08_001530
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	1357	3084	-			KAK8441689.1	hypothetical protein			B9J08_00001	1728		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	1357	3084	-	KAK8441689.1			hypothetical protein			B9J08_00001	1728	575	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	6991	11118	+							B9J08_00002	4128		old_locus_tag=B9J08_001531
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	6991	11118	+			KAK8441690.1	hypothetical protein			B9J08_00002	4128		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	6991	11118	+	KAK8441690.1			hypothetical protein			B9J08_00002	4128	1375	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	11536	13908	+							B9J08_00003	2373		old_locus_tag=B9J08_001532
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	11536	13908	+			KAK8441691.1	hypothetical protein			B9J08_00003	2373		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	11536	13908	+	KAK8441691.1			hypothetical protein			B9J08_00003	2373	790	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	14045	15583	-							B9J08_00004	1539		old_locus_tag=B9J08_001533
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	14045	15583	-			KAK8441692.1	hypothetical protein			B9J08_00004	1539		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	14045	15583	-	KAK8441692.1			hypothetical protein			B9J08_00004	1539	512	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	16554	17738	-							B9J08_00005	1185		old_locus_tag=B9J08_001534
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	16554	17738	-			KAK8441693.1	hypothetical protein			B9J08_00005	1185		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	16554	17738	-	KAK8441693.1			hypothetical protein			B9J08_00005	1185	394	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	18628	19821	-							B9J08_00006	1194		old_locus_tag=B9J08_001535
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	18628	19821	-			KAK8441694.1	hypothetical protein			B9J08_00006	1194		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	18628	19821	-	KAK8441694.1			hypothetical protein			B9J08_00006	1194	397	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	20465	21907	+							B9J08_00007	1443		old_locus_tag=B9J08_001536
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	20465	21907	+			KAK8441695.1	hypothetical protein			B9J08_00007	1443		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	20465	21907	+	KAK8441695.1			hypothetical protein			B9J08_00007	1443	480	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	22527	23969	+							B9J08_00008	1443		old_locus_tag=B9J08_001537
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	22527	23969	+			KAK8441696.1	hypothetical protein			B9J08_00008	1443		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	22527	23969	+	KAK8441696.1			hypothetical protein			B9J08_00008	1443	480	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	24192	25079	-							B9J08_00009	888		old_locus_tag=B9J08_001538
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	24192	25079	-			KAK8441697.1	hypothetical protein			B9J08_00009	888		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	24192	25079	-	KAK8441697.1			hypothetical protein			B9J08_00009	888	295	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	25729	28023	+							B9J08_00010	2295		old_locus_tag=B9J08_001539
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	25729	28023	+			KAK8441698.1	hypothetical protein			B9J08_00010	2295		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	25729	28023	+	KAK8441698.1			hypothetical protein			B9J08_00010	2295	764	
