Gene_ID,LFC,FDR,Gene_Name,Description
B9J08_003891,4.951269586,2.32e-26,,Protein of unknown function
B9J08_001458,4.466069724,7.1e-26,SCF1,Ortholog of Candida lusitaniae ATCC 42720 : CLUG_05295
B9J08_004100,3.676295329,1.35e-49,,Protein of unknown function
B9J08_004109,3.139694524,3.36e-61,,Ortholog of Candida lusitaniae ATCC 42720 : CLUG_05599
B9J08_004544,2.976287487,9.51e-18,,Has domain(s) with predicted oligopeptide transmembrane transporter activity and role in transmembrane transport
B9J08_000846,2.865475738,0.00932734,,"Ortholog of C. albicans SC5314 : CR_08830W_A, C. dubliniensis CD36 : Cd36_26620, C. parapsilosis CDC317 : CPAR2_201160 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_115461"
B9J08_004451,2.859214855,0.00024047,,Protein of unknown function
B9J08_004112,2.557540007,1.84e-06,ALS4112,Putative cell-surface adhesin; increases in expression in response to caspofungin; associated with autoaggregation that may contribute to stress adaption
B9J08_002459,2.548008686,0.000805119,,"Ortholog(s) have lipid binding activity, role in endocytosis, response to heat and eisosome localization"
B9J08_000595,2.493072142,6.89e-18,,"Ortholog of C. albicans SC5314 : C1_06350W_A, C. dubliniensis CD36 : Cd36_05930, C. parapsilosis CDC317 : CPAR2_803870 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_112418"
B9J08_001899,2.4828413,7.46e-38,,"Has domain(s) with predicted ABC-type transporter activity, ATP binding, ATPase activity, role in transmembrane transport and membrane localization"
B9J08_000724,2.455685682,7.23e-08,,"Ortholog of C. albicans SC5314 : C1_10060C_A, C. dubliniensis CD36 : Cd36_09460, C. parapsilosis CDC317 : CPAR2_700850 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_114857"
B9J08_001362,2.451522275,2.84e-08,,"Ortholog(s) have L-leucine transmembrane transporter activity, amino acid transmembrane transporter activity and role in amino acid transport, leucine import across plasma membrane, transmembrane transport"
B9J08_002381,2.428297226,6.53e-05,,"Ortholog(s) have phosphatidyl-N-dimethylethanolamine N-methyltransferase activity, phosphatidyl-N-methylethanolamine N-methyltransferase activity and role in phosphatidylcholine biosynthetic process"
B9J08_004987,2.32189263,9.74e-05,,"Ortholog of C. albicans SC5314 : C1_01510W_B, C. dubliniensis CD36 : Cd36_01380, C. parapsilosis CDC317 : CPAR2_109270 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_93810"
B9J08_001621,2.26987352,5.3e-05,,Protein of unknown function
B9J08_004446,2.263328713,8.84e-14,,"Has domain(s) with predicted ATP binding, ATPase activity"
B9J08_004176,2.232642501,0.000364348,,Has domain(s) with predicted triglyceride lipase activity and role in lipid catabolic process
B9J08_001861,2.22866037,0.000251199,,"Ortholog(s) have long-chain fatty acid transporter activity, very long-chain fatty acid-CoA ligase activity"
B9J08_000211,2.177339215,0.000157798,,Protein of unknown function
B9J08_002830,2.163892434,1.84e-06,,Has domain(s) with predicted oxidoreductase activity
B9J08_004560,2.142302469,0.000934143,,Has domain(s) with predicted oligopeptide transmembrane transporter activity and role in transmembrane transport
B9J08_002847,2.135264739,0.000637484,,"Ortholog(s) have 3-hydroxyacyl-CoA dehydrogenase activity, enoyl-CoA hydratase activity, role in fatty acid beta-oxidation and peroxisome localization"
B9J08_001484,2.108894526,0.000415757,,"Ortholog(s) have acetyl-CoA C-acyltransferase activity, mRNA binding activity, role in fatty acid beta-oxidation and mitochondrial intermembrane space, peroxisomal matrix, peroxisome localization"
B9J08_002919,2.082422217,1.65e-08,,"Ortholog(s) have malate synthase activity, role in glyoxylate cycle and cytosol, peroxisomal matrix, peroxisome localization"
B9J08_002940,2.082323916,4.63e-06,,"Ortholog(s) have role in negative regulation of conjugation with cellular fusion, negative regulation of transcription by RNA polymerase II"
B9J08_000178,2.053001254,0.000180945,,"Ortholog of C. albicans SC5314 : C3_01420C_A, C. dubliniensis CD36 : Cd36_81350, C. parapsilosis CDC317 : CPAR2_503800 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_114361"
B9J08_001581,2.050865566,1.88e-11,,"Has domain(s) with predicted ATP binding, ATPase, nucleotide binding, transporter activity and membrane localization"
B9J08_003628,2.042873445,0.001396864,,"Has domain(s) with predicted FAD binding, acyl-CoA oxidase activity, flavin adenine dinucleotide binding, oxidoreductase activity, acting on the CH-CH group of donors activity"
B9J08_000987,2.042729595,0.000315535,,"Has domain(s) with predicted membrane, plasma membrane localization"
B9J08_004559,2.039970517,1.42e-06,,Has domain(s) with predicted oxidoreductase activity and mitochondrion localization
